"subjects"	"omic1"	"omic2"	"omic3"	"omic4"	"omic5"	"omic6"	"omic7"	"omic8"	"omic9"	"omic10"	"omic11"	"omic12"	"omic13"	"omic14"	"omic15"	"omic16"	"omic17"	"omic18"	"omic19"	"omic20"	"omic21"	"omic22"	"omic23"	"omic24"	"omic25"	"omic26"	"omic27"	"omic28"	"omic29"	"omic30"	"omic31"	"omic32"	"omic33"	"omic34"	"omic35"	"omic36"	"omic37"	"omic38"	"omic39"	"omic40"	"omic41"	"omic42"	"omic43"	"omic44"	"omic45"	"omic46"
"S13"	1928.639	2555.137	9959.025	13527.665	4181.474	2576724.515	1738.907	3218617.806	420318.768	39902.249	80467.563	231516.343	192191.972	3690237.042	1148.238	20081.975	24705.935	214486.637	2757.239	9457.307	3318.834	22233.665	7352.001	7754.116	1840.007	41969.89	5280.871	1241.997	1416.951	4214.665	1363.056	1281.912	2596.714	10974.204	2294.599	1585.847	11712.382	16991.134	973.729	1220.98	849393.113	1622.847	483060.658	3902.088	2460.148	10517.312
"S14"	2800.849	2842.095	10778.107	13696.253	2412.389	2311108.276	1977.75	3399529.569	484839.236	41844.74	111725.869	230608.343	201101.084	4330294.42	1161.193	20790.333	41875.37	233765.074	3784.614	8732.15	4947.16	24323.19	5416.674	7812.34	6113.403	32222.572	3643.095	1162.984	1279.048	4087.707	1251.267	962.21	2083.272	21334.572	2194.275	1822.105	8190.335	10205.026	914.064	948.722	869776.852	1775.805	417850.641	4603.732	2770.157	8214.514
"S15"	2455.543	2471.194	11845.141	16565.611	2786.907	2318606.175	2036.991	3066387.22	482662.408	29077.747	94881.505	249711.448	157775.063	3151411.481	1471.733	30419.496	12904.011	258633.92	3590.658	10820.822	2379.128	25389.253	4717.725	8506.309	4472.64	24969.68	2840.002	1371.369	2047.529	3125.865	1506.558	1129.8	1967.717	17227.304	2430.917	1175.304	15704.142	15010.017	938.541	1000.148	983421.79	1511.722	455648.762	5656.085	3214.836	8239.989
"S16"	1819.382	3334.878	7947.116	18664.106	2003.049	2856815.081	1887.886	4879508.23	645637.89	44486.304	131952.867	243616.24	276064.145	5598724.37	2140.95	32456.52	29687.457	254694.57	3721.909	22226.793	4084.801	21931.624	9619.044	7549.882	5096.526	27908.41	3418.914	1043.302	1837.388	4845.957	1553.012	1589.168	1764.252	25270.335	2568.03	1711.642	8372.52	12058.769	937.338	1462.728	1078427.698	1845.431	404775.821	6024.861	2619.22	8755.27
"S17"	2748.563	2442.627	12452.113	11774.708	12636.196	2029751.722	2862.594	3088801.856	923749.655	22805.193	195751.941	144765.308	150697.344	3404525.006	971.518	15837.383	43921.783	166909.559	2192.027	8629.277	3735.087	18699.424	3728.28	7525.029	1335.046	32367.421	4102.694	2016.8	2058.769	3187.421	3505.355	1629.684	2137.159	2584.337	2188.903	1461.981	1981.291	17208.917	2525.434	1241.696	1506962.074	1511.135	737991.668	6723.391	2013.116	13664.231
"S18"	2718.539	2351.618	11745.954	16182.189	1939.498	2893801.661	2177.702	4108061.275	493819.391	45260.092	93783.374	159636.087	206043.952	4371919.921	2358.007	19831.013	28892.39	199245.596	3260.336	12527.447	4722.275	21666.495	7074.028	7392.835	3131.198	25284.541	2718.648	1178.861	1946.426	4597.077	2589.765	2329.393	2557.26	22071.928	3015.306	1344.868	25841.063	16532.938	1863.587	1096.964	1606702.181	1522.951	790165.04	6068.055	2583.258	19721.194
"S19"	2836.309	2174.967	12866.917	14129.312	2954.733	2574288.462	3116.337	3452797.597	848437.375	27580.818	158921.966	103252.177	148819.609	3367855.548	1699.079	13233.967	49010.949	175373.829	2685.813	8782.688	2771.902	20861.72	4810.503	8670.409	4304.43	25905.561	3692.284	1737.141	2065.509	3336.305	3016.83	2653.947	2405.549	8063.519	2416.636	1328.886	2106.086	24678.156	2139.354	1535.819	1768859.918	1616.678	854913.649	5750.8	2780.692	31714.598
"S20"	2526.265	4942.416	11152.223	19803.198	9199.92	769356.617	714.661	3899595.893	405625.85	77195.15	149714.6	743272.502	4314.605	913213.537	1679.661	53790.667	120768.162	388177.163	5852.749	17253.193	4450.559	22766.977	4750.654	7075.274	2830.034	242.395	5198.707	1264.196	2101.901	4002.1	2725.02	2160.315	2411.035	3895.098	3460.325	1229.726	1726.77	23940.265	1716.22	1421.904	1323044.616	1634.294	878482.247	6540.213	3321.48	12867.782
"S21"	2728.744	1854.81	12050.681	12840.904	3493.383	2310111.728	2774.915	3635048.218	441490.326	27360.898	81707.615	535328.1	178334.877	4255900.981	2549.26	15850.622	18999.465	168371.015	2659.955	15718.745	3817.932	21574.352	6117.982	6842.82	5535.601	38000.887	4682.715	1947.79	2106.34	4637.349	1921.946	1930.665	2371.127	22476.244	2443.875	1260.611	2729.563	23786.019	1227.653	1114.744	1380028.712	1512.697	981292.505	6583.329	2365.156	11918.601
"S22"	2786.729	2827.956	10901.59	11836.989	6151.098	1856913.702	1782.25	2525076.274	661877.624	24348.354	591255.449	199171.391	122973.195	2646859.733	1006.666	18905.664	36089.599	184003.571	2872.201	11362.079	3028.455	21164.166	3497.511	8204.453	3614.714	26607.433	3049.941	1123.018	1871.866	2755.716	2297.142	1637.958	2430.411	6357.174	1616.416	948.675	14036.899	27752.118	1416.488	1278.811	900582.685	1696.87	544048.794	6207.986	2763.275	13272.321
"S23"	2688.063	1431.898	13501.765	13606.035	10046.725	2028710.858	2792.713	2856568.088	378492.808	22412.923	111818.716	156713.396	129586.419	2469421.2	919.539	13907.494	28019.707	170447.233	2360.255	9226.419	2911.766	19956.618	4691.459	6275.59	2042.526	36454.761	4144.691	1775.546	1728.631	2703.732	2567.387	1632.021	2751.801	2618.655	2012.918	1463.502	5694.571	20406.243	1838.244	1648.074	1016607.028	1488.299	580521.359	5844.166	2544.251	11122.238
"S24"	2689.301	2037.935	11728.711	14178.717	3748.843	2456751.041	2733.917	3331583.285	621673.498	31106.53	97374.32	109684.343	188209.572	3368331.807	966.224	19131.634	25816.919	215560.559	3106.086	7919.695	7901.333	24926.537	5448.74	7912.461	1913.524	34902.409	4354.715	1327.184	1723.811	4128.086	2084.276	1778.599	2236.536	9051.419	2388.57	1779.436	12343.424	24590.531	1475.396	1555.108	961777.855	1722.155	638030.969	5021.993	2543.58	17509.763
"S25"	2415.245	1699.682	13264.704	14813.493	5098.198	2155040.811	3415.028	2693240.088	532108.942	26608.292	220627.024	220313.02	130745.4	2730941.696	1284.148	14630.36	53640.345	184609.906	2824.052	3938.068	1784.072	18082.936	5140.632	5844.427	1914.805	44536.345	5204.689	2240.057	2436.957	2302.348	2200.984	1833.064	2358.207	821.797	2301.53	1210.937	4807.663	20674.115	1234.788	674.08	1124597.72	1569.475	787038.584	4813.617	2230.52	20286.261
"S26"	2171.998	1988.116	9425.122	16359.346	4226.618	2516915.056	2772.446	3688262.79	574326.839	28293.476	91110.17	247208.032	215235.898	4203035.327	1355.991	24975.994	19487.633	217073.599	3048.584	16124.563	10785.947	22787.33	7588.316	8996.638	2020.647	34305.208	4525.681	1607.436	1774.329	5674.143	1805.309	1616.712	2489.909	26113.73	2649.544	1611.132	6127.509	16280.493	1081.282	775.692	908908.888	1894.35	564965.805	5123.867	3082.99	5791.634
"S27"	3322.432	2166.691	15180.783	12444.823	4598.76	1655561.759	3662.934	2903080.063	708594.449	22618.576	210211.142	213270.924	128938.252	3033069.115	2072.01	19014.339	29055.649	185198.258	3080.804	9262.203	3140.067	22951.848	4445.223	7618.357	9952.503	36399.208	4171.612	754.594	1770.077	3783.099	1549.517	960.642	1736.079	15185.765	2502.461	1488.432	19137.154	7239.313	821.034	670.944	760503.165	1198.725	343054.333	4582.436	2753.132	7293.579
"S28"	2549.453	2247.792	11684.689	15875.314	2970.719	2340829.357	2583.867	3604478.813	502920.238	28022.665	90645.962	114317.066	149937.907	3719278.703	2233.514	18620.018	24836.821	202413.639	2686.899	8089.82	10469.949	22197.999	5914.28	8188.793	4127.413	33917.581	3779.01	1319.841	1563.999	3979.679	1802.982	1618.87	2280.456	12100.994	1357.728	1456.155	8842.254	19989.569	1374.193	1315.903	941936.476	1595.382	582895.014	6173.807	2292.601	13527.614
"S29"	2770.618	1925.522	11576.456	12601.582	4819.135	2357597.885	2429.152	3552380.133	510788.029	24286.2	186204.663	153489.274	163701.333	3465172.653	1994.845	13474.088	36770.363	180728.379	2580.898	8317.774	3848.962	24787.618	5211.278	8075.729	2854.532	29694.418	3742.188	1897.565	2085.431	4148.217	1707.996	2004.093	2295.353	10998.801	2196.125	1288.748	12532.432	19552.156	1374.588	984.718	1378152.168	1622.984	842720.628	6230.141	2789.685	16730.156
"S30"	2983.302	2244.205	14236.784	13882.489	3478.176	2215181.443	2566.15	3337634.757	601189.241	25388.685	164682.593	390944.7	190399.362	3792207.248	3450.218	28870.391	12169.762	231692.284	2785.99	15700.987	2750.062	21455.58	5669.443	6793.319	3756.181	33212.124	3292.337	762.782	1820.389	3674.704	1271.453	1573.773	2495.12	11146.225	2071.62	1411.222	48109.968	13291.137	1097.903	802.008	817210.647	1519.804	471101.633	5323.048	2739.436	5028.118
"S31"	1886.281	2053.029	9325.209	14769.016	2622.772	2281207.701	1654.236	3582375.606	416517.661	26111.999	118148.176	312645.138	183124.661	3517650.953	1956.842	19589.507	32060.072	197104.707	3540.538	10919.686	9297.105	21029.846	7259.415	7076.814	3141.495	21592.537	2665.758	840.163	1762.828	4455.475	1317.529	1559.228	2043.023	6041.144	3022.6	1424.507	13658.686	13956.474	1161.222	907.294	854782.029	1893.108	608142.342	4889.893	2442.799	8341
"S32"	2636.973	2412.59	10123.707	12982.809	3665.674	2245575.787	2412.767	3495531.097	842646.056	23272.002	169614.245	140228.983	142230.551	3187501.843	902.412	15934.155	60825.225	191013.891	2785.73	10587.289	2422.265	23193.84	5373.675	6804.166	2128.687	24724.544	2827.134	1645.3	2550.153	3125.23	1724.23	1450.983	2305.109	22321.99	2310.542	1316.762	13449.18	15140.742	1553.822	917.811	1094364.088	1720.121	570550.063	5561.639	2597.734	9991.016
"S33"	2487.553	3142.426	10769.002	15920.777	4099.65	2358315.675	2215.77	3253290.706	506033.662	32791.747	134479.098	94721.903	178596.46	3630282.332	2123.985	19720.881	13144.599	229593.945	3181.798	11259.142	7481.868	25273.461	8048.707	8983.581	3057.227	26649.445	3109.4	1771.636	1678.16	5402.438	1753.346	1608.848	1941.184	30901.443	3368.986	1523.425	18736.153	16509.303	1850.952	1164.593	803243.234	1694.562	574516.089	4774.48	3070.413	6809.558
"S34"	2636.775	2660.064	11546.517	13716.163	6032.235	1965430.64	2296.601	3587523.372	662573.703	29084.748	159878.323	206238.847	180113.793	4031371.158	976.244	19083.228	40484.698	191831.871	2931.663	10186.843	3070.457	20623.072	5644.485	7736.96	3681.115	33867.83	3927.025	1421.858	2076.781	3621.471	1864.403	1837.451	2219.032	5960.134	2216.467	1118.111	8296.597	16561.789	1056.731	892.154	995054.504	1885.503	568972.39	5381.726	2166.227	10785.187
"S35"	2303.95	1914.08	10373.382	12239.009	4345.122	1939556.431	2327.284	3451148.748	667566.398	25634.184	104737.839	140527.726	164769.867	3924081.379	1063.3	14370.739	64124.487	178407.733	2602.165	11703.338	4242.38	18792.079	5499.935	7268.769	6055.69	34227.573	3755.123	2258.325	1947.393	4048.011	1978.223	1668.798	2425.451	10518.283	2227.191	1379.052	2203.784	16640.427	1599.658	1356.541	1219667.813	1597.851	701066.413	5981.193	2238.786	16406.47
"S36"	2657.83	2778.962	11300.868	13204.725	4007.88	1819214.298	2684.448	2979810.222	733505.791	28121.43	134552.862	5422.267	116845.04	2935140.144	3157.863	13641.699	22058.71	168199.251	2806.365	9222.355	3166.112	20502.867	4564.519	6636.907	3361.299	30918.635	3957.749	1694.293	2139.696	4157.002	3301.071	2461.698	2759.972	12790.51	1715.204	1195.844	12548.409	26002.529	1965.356	1654.593	1435429.303	1406.863	776768.073	6410.474	2357.291	13284.964
"S37"	2355.303	2549.102	10641.298	12925.449	6400.353	1970578.012	2241.267	3135327.632	513296.615	33313.941	124839.818	209299.294	147065.937	3311653.423	1244.566	21079.52	36566.187	200352.787	3018.146	10019.07	4964.434	22579.234	5444.316	7571.628	2231.761	30279.35	3850.999	1835.542	2246.585	5118.105	1969.855	1939.452	1910.264	3458.615	2619.827	1497.789	3758.978	19220.782	1170.321	1471.351	989002.72	1692.9	850833.357	5518.445	2871.652	11902.836
"S38"	2768.496	2314.995	13414.227	12946.226	4192.315	2286338.515	2522.217	3908949.656	680154.095	27631.753	201031.433	159331.718	176446.698	3959057.139	2872.354	15930.356	38124.617	182435.108	2853.624	15885.283	3091.435	21499.829	6237.894	7396.434	2593.124	28712.433	3770.271	1984.051	1694.796	3905.097	2756.952	2557.808	2823.623	12362.441	2637.267	1060.919	3990.163	24650.122	1794.049	1827.473	1104223.702	1752.449	759098.969	5380.14	2391.638	14417.683
"S39"	2111.563	2043.283	7561.159	15287.009	3168.553	2355238.684	1760.625	3975753.281	641868.186	25514.864	219661.921	232433.462	215274.596	4275745.047	1266.202	18614.231	44483.733	189896.291	2401.682	8618.08	5108.412	20726.792	7068.644	6709.506	4457.187	33323.523	3892.337	1281.504	1480.47	3680.939	1773.423	1665.216	2011.921	17952.053	2085.924	1753.361	11318.108	19630.322	1307.077	919.404	1020322.196	2617.53	539883.018	5779.596	2113.494	10409.238
"S40"	2429.419	2033.792	13366.974	11406.641	6440.048	2126925.827	2540.429	2782994.043	672899.423	42122.6	302075.658	222229.195	162110.077	2808257.487	840.867	17293.03	56506.5	166193.619	2442.795	18627.592	2042.065	18615.26	5470.854	6829.317	3946.181	31764.328	3912.605	2540.881	2232.896	4298.397	2906.492	2805.218	2467.298	9510.844	2142.218	1143.357	9036.69	27469.643	2355.295	2218.374	1173440.525	1992.476	611043.744	6594.853	2236.753	17300.946
