"subjects"	"omic1"	"omic2"	"omic3"	"omic4"	"omic5"	"omic6"	"omic7"	"omic8"	"omic9"	"omic10"	"omic11"	"omic12"	"omic13"	"omic14"	"omic15"	"omic16"	"omic17"	"omic18"	"omic19"	"omic20"	"omic21"	"omic22"	"omic23"	"omic24"	"omic25"	"omic26"	"omic27"	"omic28"	"omic29"	"omic30"	"omic31"	"omic32"	"omic33"	"omic34"	"omic35"	"omic36"	"omic37"	"omic38"	"omic39"	"omic40"	"omic41"	"omic42"	"omic43"	"omic44"	"omic45"	"omic46"
"S1"	2568.196	2365.646	11975.95	15847.898	5538.948	2356791.437	2303.217	3516615.531	475802.715	35564.908	140536.297	135416.349	151109.409	3508745.481	837.683	19267.001	26377.898	211531.115	2988.822	14406.483	3690.831	23552.607	5099.938	8267.174	3358.845	27508.872	3256.806	1310.385	1641.223	3695.515	1506.154	1813.468	2127.544	9402.069	2918.746	1402.016	2639.775	17286.128	1325.992	1172.101	1003443.642	1700.63	527502.079	4440.077	3123.951	11908.506
"S2"	2455.502	2476.832	12344.814	14459.172	5913.078	2329868.73	2558.373	2708517.627	877763.648	18480.502	119548.004	154836.3	169667.518	2814484.76	1882.357	15049.725	50973.753	179787.45	2873.183	9386.949	4914.63	19333.166	5714.969	6804.721	2325.338	29460.093	3748.403	2361.292	1582.453	4546.665	2079.442	2586.484	2617.258	26572.066	2767.15	1401.971	5313.47	23734.442	2274.063	2110.043	1178228.913	1291.262	724024.746	6328.161	2128.746	13377.527
"S3"	2328.836	2681.718	10983.199	14970.823	4045.595	2126534.819	2577.059	3579623.966	474887.099	34533.604	88725.112	172509.15	165038.514	3357452.32	1387.867	20832.937	29130.171	200822.083	2812.882	10693.97	3994.118	20945.529	6225.299	7142.206	3049.625	28127.557	2969.455	1382.36	1767.266	3646.238	2060.597	2019.742	2755.213	7696.665	1666.58	1319.181	16220.172	20977.665	1135.349	1442.964	1225721.848	1714.194	669258.901	6447.867	2724.921	10857.363
"S4"	2081.468	2133.274	11628.827	12673.007	8071.442	2142944.416	2436.474	2899057.798	504044.258	34493.285	85661.742	385520.226	149444.751	3088255.038	762.868	19158.911	44344.773	189577.991	2635.855	11986.5	4296.397	20901.458	4754.579	7376.83	9502.909	28405.094	3586.651	1191.939	1795.67	4291.39	2954.515	1887.462	2369.657	30603.751	2265.979	1282.047	23204.439	22980.532	1651.89	1262.294	1621041.943	1484.702	602080.907	6392.757	2156.985	25957.148
"S5"	3004.951	1919.732	12177.084	13147.502	3514.559	1869847.122	2741.893	3108049.793	275474.608	31553.18	281415.267	166619.793	142934.325	3029733.295	2553.545	17540.065	19575.557	194202.355	2416.606	19511.18	7081.123	20917.497	6086.901	7567.484	5145.389	30609.667	3568.903	1402.754	1365.656	5556.965	1773.739	1529.774	2117.927	20319.608	2648.919	1303.987	8943.85	24840.895	1820.677	1121.222	905503.593	1500.727	870225.366	4777.501	2172.041	8041.927
"S6"	2331.143	1650.479	11502.595	15607.441	3258.481	2490402.909	2220.066	3214952.718	607746.675	22841.435	86302.025	89168.052	145739.941	3111605.511	1074.301	26732.072	20059.845	173405.158	2373.029	9456.038	2833.365	21919.159	5181.466	7202.89	3124.102	30475.021	3919.779	991.947	2021.968	3441.268	1753.009	1935.221	2229.419	5075.584	1577.636	1132.495	26217.176	14210.487	881.481	1223.103	1085643.853	1632.057	615963.87	5055.615	2708.495	15037.57
"S7"	2865.03	1560.791	10612.321	13876.269	14664.265	2301720.999	2866.76	3159625.81	555517.065	22966.845	149056.835	111124.47	178244.301	3289176.402	994.924	15132.539	43897.944	170725.059	2239.717	13100.83	2519.301	19092.132	5911.09	6852.104	3933.871	33017.64	3711.686	977.015	2053.617	3188.617	2528.909	1386.323	2157.467	10741.788	2579.533	1374.047	3553.452	20954.076	1378.028	1537.779	1418649.955	1641.401	696038.113	6257.139	2144.68	12337.012
"S8"	2603.276	1663.429	14767.129	10940.492	8346.168	1710941.344	3222.767	2825005.945	708152.762	22266.79	175160.111	173702.074	148029.221	3402574.373	2301.414	16021.189	23158.906	183079.105	2529.329	12859.665	3094.296	20550.864	3780.348	7213.388	2185.484	41236.456	5069.946	1692.038	2411.143	2961.233	2733.382	2994.759	2779.602	7935.88	2173.301	1244.649	16954.516	33883.08	1812.32	2013.405	1712808.166	1622.588	1058246.223	6493.437	2340.239	24711.799
"S9"	2898.779	2148.096	13381.502	15829.266	3000.005	2592967.121	2716.406	3502589.495	691816.005	22463.767	108950.345	182045.418	201193.161	4209122.052	1996.174	15202.975	31174.717	168055.334	2635.115	8182.753	5082.465	20454.803	6907.769	7263.55	4022.24	31650.677	4099.691	2001.79	2552.99	4728.022	1947.799	1951.902	2700.939	19609.423	1997.079	1263.237	3674.812	18146.466	1247.693	1498.157	1311399.125	1216.549	633416.511	5698.111	2276.601	11823.48
"S10"	2181.112	2121.101	12781.455	17149.192	2470.7	2540740.847	3067.457	3431416.002	465426.796	26897.567	257849.796	249628.631	207513.414	3770869.593	3039.648	17359.248	28365.342	199279.349	2473.56	9858.879	3569.67	21618.736	6203.709	7662.189	5288.971	26385.032	3345.121	979.03	1530.049	4233.54	1220.88	1538.554	2181.263	12913.03	2673.945	1441.248	14714.15	14050.827	873.483	808.398	800812.721	1640.588	480756.318	4507.597	2167.554	13306.903
"S11"	2008.568	2035.924	8477.402	16785.353	2298.334	2370472.927	1776.593	3632493.439	459592.142	26382.504	114934.044	134015.657	181036.42	3987042.977	1147.361	15707.101	41263.594	185611.432	2412.127	9365.506	3870.183	21654.318	5946.657	7245.873	6685.199	28164.91	3712.895	1028.775	2053.97	3342.515	1656.534	1695.972	2014.312	10857.015	2358.756	1354.574	13314.655	17112.805	1425.31	1195.459	817258.722	1444.061	500205.416	6291.474	2511.033	10430.71
"S12"	2324.929	2095.008	10305.937	14870.034	4025.351	2514073.785	2335.493	3418655.984	487963.706	32764.645	122732.92	254551.028	201483.826	4177136.224	2376.604	20031.478	27693.117	199131.398	2613.483	11383.688	4720.564	22554.96	5513.839	6517.784	3553.987	29279.015	3297.839	861.744	1764.021	3989.745	1669.754	1797.096	2001.657	5789.743	2552.57	1547.13	5012.77	13023.501	876.888	902.591	656695.42	1898.185	522572.583	3765.777	2341.568	9287.86
